Src IP,Dst IP,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.141,192.168.0.142,6,119918911,1373,1350,2271850.0,1905.0,1921.0,449.0,1654.6613255644563,510.87152675470026,1905.0,0.0,1.41111111111111,51.84753288891064,18960.77091627358,22.707010739949094,44055.44121969148,54113.71761831954,256729.0,-205.0,119807741.0,87323.42638483965,45068.860087469744,256736.0,0.0,119918911.0,88894.67086730902,44020.1018729337,256787.0,7.0,0,1,0,0,43936,44268,11.44940350567393,11.257607234275168,0.0,1921.0,835.4111600587385,903.6114169887956,816513.5929124992,0,0,0,1,1,0,0,0,0.0,835.7179581344105,1654.6613255644577,1.4111111111111112,0,0,0,0,0,0,1373,2271850,1350,1905,-1,477,1373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.142,192.168.0.141,6,61474632,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650674899526035,20491544.0,35412065.44756503,61381871.0,30644.0,0.0,0.0,0.0,0.0,0.0,61474632.0,30737316.0,43381282.4542936,61412515.0,62117.0,0,0,0,0,32,96,0.0162668724881508,0.0488006174644526,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,509,0,0,62117.0,0.0,62117.0,62117.0,61381871.0,0.0,61381871.0,61381871.0,BENIGN
192.168.0.141,192.168.0.142,6,72511931,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103266716204261,10358847.285714284,18406708.50835988,50406945.0,4.0,61476760.0,30738380.0,27815551.37541677,50406945.0,11069815.0,72468474.0,18117118.5,22152032.344730698,50417637.0,13.0,0,0,0,0,96,160,0.0413725018576598,0.0689541697627663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,3568.333333333333,6165.8138419298175,10688.0,4.0,24152589.666666668,22736938.69816384,50406945.0,11024470.0,BENIGN
192.168.0.141,192.168.0.142,6,62265148,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284827910470878,8895021.142857144,22821875.03336149,60643617.0,4.0,61466689.0,30733344.5,42299513.02377502,60643617.0,823072.0,62224491.0,15556122.75,30069924.871335827,60657608.0,4.0,0,0,0,0,96,160,0.0481810466426579,0.0803017444044299,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,798459.0,0.0,798459.0,798459.0,60643617.0,0.0,60643617.0,60643617.0,BENIGN
192.168.0.141,192.168.0.142,6,119980055,3100,3102,355878.0,102.0,918.0,102.0,114.79935483870976,61.214995196324175,102.0,0.0,0.0328820116054157,1.8313834070866768,2966.9931389846424,51.69192496202807,19348.50104821801,27530.96739033081,459145.0,-41.0,119949321.0,38705.81510164565,27782.564847423797,459228.0,0.0,119980055.0,38690.76265720735,27782.4007193421,459162.0,30.0,0,1,0,0,99200,99264,25.837627762381008,25.85429719964706,0.0,918.0,57.404804127035256,71.8836739637572,5167.2625825277455,0,0,0,1,1,0,0,0,1.0,57.4140599806514,114.79935483870968,0.0328820116054158,0,0,0,0,0,0,3100,355878,3102,102,-1,5320,3100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119980072,3097,3099,355878.0,102.0,918.0,102.0,114.91055860510194,61.52374025710753,102.0,0.0,0.0329138431752177,1.832269631869776,2966.9927185908005,51.641909333076576,19367.24326069409,27676.88832234733,459187.0,-59.0,119949321.0,38743.32073643427,28055.737227407648,459228.0,0.0,119980072.0,38728.23499031639,28056.216203647004,459195.0,7.0,0,1,0,0,99104,99180,25.81261994908621,25.829289383990368,0.0,918.0,57.4603840568017,72.05956076508852,5192.580297657484,0,0,0,1,1,0,0,0,1.0,57.46965784377017,114.91055860510173,0.0329138431752178,0,0,0,0,0,0,3097,355878,3099,102,-1,5366,3097,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119978090,3505,3254,471144.0,134.0,938.0,134.0,134.4205420827396,16.474763814470677,134.0,0.0,0.0411800860479409,2.3490703545070915,3928.033860182305,56.33528588428104,17753.490677715254,25462.767388202235,361828.0,-84.0,119946142.0,34231.204908675834,26270.485024532263,361895.0,0.0,119978090.0,36882.2901936674,25413.320638983227,361854.0,5.0,0,1,0,0,112160,104380,29.213667262080936,27.121618622200103,0.0,938.0,69.73550295857976,68.20705866981741,4652.202852387915,0,0,0,1,1,0,0,0,0.0,69.74582038763131,134.42054208273893,0.0411800860479409,0,0,0,0,0,0,3505,471144,3254,134,-1,1746,3505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.142,192.168.0.141,6,119951354,1185,1186,62244.0,0.0,156.0,52.0,52.52658227848101,6.021878232563956,0.0,0.0,0.0,0.0,518.9103576104693,19.766346280676416,50612.385654008445,40530.18156122711,325934.0,0.0,119857181.0,101230.72719594592,17850.811326049356,331404.0,18145.0,119951354.0,101224.77130801696,41131.02041194158,537816.0,0.0,0,0,0,0,37920,37952,9.87900478388931,9.887341496787108,0.0,156.0,26.24114671163576,26.61126553603437,708.1594534293306,0,0,0,0,1,0,0,0,1.0,26.25221425558836,52.526582278481015,0.0,0,0,0,0,0,0,1185,62244,1186,0,-1,610,1185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119929221,1368,1345,2274624.0,1905.0,2896.0,449.0,1662.736842105264,504.84932331949335,1905.0,0.0,1.4163568773234192,51.94381436996246,18982.27121812123,22.62167616347645,44221.68915929199,54703.126173577,398823.0,-113.0,119827383.0,87657.19312362834,46132.14758211548,398837.0,0.0,119929221.0,89233.05133928578,45057.75086670038,398859.0,5.0,0,1,0,0,43776,44168,11.406727973326868,11.214948190149588,0.0,2896.0,839.5114222549755,905.6075014085365,820124.9466074124,0,0,0,1,1,0,0,0,0.0,839.8208625138224,1662.7368421052631,1.41635687732342,0,0,0,0,0,0,1368,2274624,1345,1905,-1,477,1368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119931761,1412,1384,2275057.0,1905.0,2896.0,441.0,1611.2301699716695,537.1575649718538,1905.0,0.0,1.3764450867052016,51.206717236837335,18985.479584511395,23.313257278028296,42909.39570661894,54459.94658025386,397906.0,-103.0,119831423.0,84926.59319631464,48081.76743797188,397921.0,0.0,119931761.0,86718.55459146785,47181.04904588965,397963.0,5.0,0,1,0,0,45184,45428,11.773361686901271,11.539895591127024,0.0,2896.0,814.7540221666088,891.7259836340684,795175.2298881469,0,0,0,1,1,0,0,0,0.0,815.0454220314735,1611.230169971671,1.3764450867052025,0,0,0,0,0,0,1412,2275057,1384,1905,-1,477,1412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
