Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.142-54.161.152.147-35674-443-6,192.168.0.142,35674,54.161.152.147,443,6,7/8/2025 10:20,92173897,3,5,0,0,0,0,0,0,0,0,0,0,0,0.086792468,1.316769957142857E7,1.5868171432057139E7,3.0165464E7,265910,6.1444002E7,3.0722001E7,359198.9311342672,3.0975993E7,3.0468009E7,9.2173897E7,2.304347425E7,1.5164967559322229E7,3.0932165E7,298521,0,0,0,0,96,160,0.032547175,0.054245292,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,-1,484,0,0,505731.6666666666,293363.9264963116,841415,298521,3.0130264E7,37543.35355292598,3.0165464E7,3.009075E7,MITM
192.168.0.141-192.168.0.142-46561-49680-6,192.168.0.142,49680,192.168.0.141,46561,6,7/8/2025 10:20,61446954,1,3,0,0,0,0,0,0,0,0,0,0,0,0.065096799,2.0482318E7,3.546357227915889E7,6.1432124E7,6945,0,0,0,0,0,6.1446954E7,3.0723477E7,4.343840678271854E7,6.1439069E7,7885,0,0,0,0,32,96,0.016274199694259864,0.048822599,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,509,0,0,7885,0,7885,7885,6.1432124E7,0,6.1432124E7,6.1432124E7,MITM
192.168.0.140-224.0.0.251-5353-5353-17,192.168.0.140,5353,224.0.0.251,5353,17,7/8/2025 10:20,44689949,2,1,115,70,70,45,57.5,17.67766952966369,70,70,70,0,4.139633276377201,0.067129188,2.23449745E7,3.1600565988780968E7,4.4689949E7,0,4.4689949E7,4.4689949E7,0,4.4689949E7,4.4689949E7,0,0,0,0,0,0,0,0,0,16,8,0.044752792,0.022376396,45,70,63.75,12.5,156.25,0,0,0,0,0,0,0,0,0,85,57.5,70,0,0,0,0,0,0,2,115,1,70,-1,-1,2,0,0,0,0,0,4.4689949E7,0,4.4689949E7,4.4689949E7,MITM
192.168.0.142-91.189.91.98-34520-80-6,192.168.0.142,34520,91.189.91.98,80,6,7/8/2025 10:23,542966,3,4,87,185,87,0,29,50.22947341949744,185,0,46.25,92.49999999999999,500.95217748440973,12.892151626437016,90494.33333333333,140166.51688854463,273713,-19,269240,134620,190302.23380717315,269184,56,542966,180988.6666666667,156756.64578043678,273713,0,0,0,0,0,96,144,5.5252078399015785,7.366943786535438,0,185,34,68.18671843862683,4649.428571428572,0,1,0,0,0,0,0,0,1,38.857142857142854,29,46.25,0,0,0,0,0,0,3,87,4,185,-1,4,1,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-46561-50574-6,192.168.0.141,46561,192.168.0.142,50574,6,7/8/2025 10:22,119979058,3526,3248,472484,134,134,134,134,0,134,0,0.041256157635467965,2.351239061251044,3939.1707842880382,56.45985318537841,17714.31536985085,26940.607975713163,330242,-125,1.19943533E8,34026.53418439725,29037.559809727452,330256,0,1.19979058E8,36950.74160763798,28420.790418479854,330264,4,0,1,0,0,112832,104392,29.388462109779194,27.071391075599212,0,134,69.77889298892964,66.94728743281057,4481.939294611356,0,0,0,1,1,0,0,0,0,69.78919397697076,134,0.041256158,0,0,0,0,0,0,3526,472484,3248,134,-1,3923,3526,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-46561-50584-6,192.168.0.141,46561,192.168.0.142,50584,6,7/8/2025 10:22,119980654,3095,3097,355776,102,612,102,114.95185783521798,55.168050916206624,102,0,0.032935098,1.8328611636468877,2966.128189299585,51.60832012134223,19379.85043,27643.287937702054,363842,-100,1.19944332E8,38766.75242404663,27987.972139045465,363905,0,1.19980654E8,38753.44121447034,28005.482821829388,363887,53,0,1,0,0,99040,99104,25.795825383648932,25.812494737693296,0,612,57.48102696592936,69.45763494702042,4824.363052433553,0,0,0,1,1,0,0,0,1,57.49031007751938,114.95185783521809,0.032935098,0,0,0,0,0,0,3095,355776,3097,102,-1,6942,3095,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-46561-50562-6,192.168.0.141,46561,192.168.0.142,50562,6,7/8/2025 10:22,119980629,3095,3097,355776,102,612,102,114.95185783521801,55.16805091620662,102,0,0.032935098,1.8328611636468877,2966.1288073427254,51.60833087481147,19379.846389920825,27654.237553079478,363854,-63,1.19944331E8,38766.752100840364,27993.895740413536,363904,0,1.19980629E8,38753.43313953489,28002.027528011873,363877,36,0,1,0,0,99040,99104,25.795830758646883,25.812500116164586,0,612,57.481026965929225,69.45763494702044,4824.363052433555,0,0,0,1,1,0,0,0,1,57.49031007751938,114.95185783521809,0.032935098,0,0,0,0,0,0,3095,355776,3097,102,-1,6927,3095,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-47266-43761-6,192.168.0.141,47266,192.168.0.142,43761,6,7/8/2025 10:22,119913196,1191,1191,0,62192,0,0,0,0,104,52,52.21830394626363,3.3635766495334933,518.6418348819591,19.864369222549954,50362.535069298574,42773.208942382444,249511,0,1.19904859E8,100760.3857142858,41413.362412504815,386111,0,1.19909241E8,100764.06806722686,11692.595438296508,249511,9888,0,1,0,0,38112,38112,9.932184611274977,9.932184611274977,0,104,26.120016785564427,26.222532110000454,687.6211902600049,0,0,0,1,1,0,0,0,1,26.130982367758186,0,52.218303946263646,0,0,0,0,0,0,1191,0,1191,62192,-1,504,0,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-48635-36684-6,192.168.0.141,48635,192.168.0.142,36684,6,7/8/2025 10:22,119974925,1374,1354,2295024,1977,2896,75,1670.3231441048013,543.9100720168565,1977,0,1.4601181683899545,53.72758713088592,19145.675648474047,22.738084645604072,43995.205353868696,57407.557431221554,340058,-140,1.1987057E8,87305.58630735605,52571.379473045956,340131,0,1.19974925E8,88673.26311899471,51857.46824823891,340123,6,0,1,0,0,43968,44824,11.452393072969207,11.285691572634866,0,2896,842.4250641260543,920.3463175245196,847037.3441809439,0,0,0,1,1,0,0,0,0,842.733871,1670.3231441048035,1.4601181683899558,0,0,0,0,0,0,1374,2295024,1354,1977,-1,7612,1374,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-48635-36696-6,192.168.0.141,48635,192.168.0.142,36696,6,7/8/2025 10:22,119980091,1404,1381,2295051,1969,2896,75,1634.6517094017088,561.6938393177467,1969,0,1.4257784214337421,52.98450444991483,19145.00964997601,23.212184428164836,43096.29705459778,57518.08035072313,340042,-97,1.19872382E8,85440.04419101919,54271.90391343307,340123,0,1.19980091E8,86942.09492753618,53604.59806298565,340090,6,0,1,0,0,44928,45712,11.701941449602668,11.510242978562168,0,2896,825.1934673366853,909.7316894326746,827611.7467580283,0,0,0,1,1,0,0,0,0,825.4897666068223,1634.6517094017095,1.4257784214337437,0,0,0,0,0,0,1404,2295051,1381,1969,-1,8148,1404,0,0,0,0,0,0,0,0,0,MITM
